"instruction","response"
"Variation 2: Please send 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 3: Can you make a payout of 5000 USD to my bank?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 4: I need to receive a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 5: Could you transfer 5000 USD to my bank account?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Please make a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Make a payout of 100 Swiss Francs","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Payout 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Transfer 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Send 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Issue a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"I need to send out 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"I have to payout 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"I need to transfer 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Send 2500 MXN out","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Process a payout for 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Make a payout of 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Send a payout of 5000 dollars to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Transfer 5000 USD to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Make a payout of 5000 USD to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Send 5000 USD to my bank account as a payout","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Payout 5000 USD to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Can I payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"How can I distribute 200 GBP through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Can I send a payout of 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"What is the process for paying out 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Could you assist me in sending a payout of 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Is it possible to transfer 200 GBP through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"How to distribute 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"How can I distribute 1200 EUR using Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"What is the process for distributing 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Is it possible to send 1200 EUR via Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"How do I transfer 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Can you guide me on distributing 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"I want to make a payout of 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Can you help me process a payout of 7000 JPY?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"I would like to make a payout of 7000 JPY.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Could you assist me in making a payout of 7000 JPY?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"I need to payout 7000 JPY.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Is it possible to make a payout of 7000 JPY?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Process a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Process a payout of 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Make a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Initiate a payout of 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Execute a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Transfer 15000 CAD as a payout","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Could you help me payout 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Could you assist me in making a payout of 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Can you help me transfer 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I would like to payout 500 AUD, can you help me?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Is it possible for you to help me payout 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I need assistance in making a payout of 500 AUD, can you help me?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Could you help me payout 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Can you assist me in making a payout of 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I require your help to payout 500 AUD.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I need assistance with a payout of 500 AUD.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Would you be able to help me with a payout of 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Can you help me transfer 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Please make a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Make a payout of 100 Swiss Francs","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Transfer 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Send 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Issue a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Pay out 100 CHF to recipient","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"I need to send out 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Send a payout of 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Instruction: Can you process a payout for 2500 MXN?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Instruction: I would like to send out 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Instruction: Please payout 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Instruction: Transfer 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 1: Transfer 5000 USD to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 2: Initiate a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 3: Send 5000 USD to my bank via Stripe","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 4: Process a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 5: Execute a transfer of 5000 USD to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"How to distribute 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Distribute 1200 EUR via Stripe.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Send a payout of 1200 EUR through Stripe.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Process a payout for 1200 EUR via Stripe.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Transfer 1200 EUR using Stripe.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Make a payout of 1200 EUR through Stripe.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"I want to make a payout of 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"I need to transfer 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Send a payout of 7000 JPY to my account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"I want to withdraw 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Make a payment of 7000 JPY to my account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Transfer 7000 JPY to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Could you help me payout 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Assist me in transferring 500 AUD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I require your assistance in paying out 500 AUD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Can you help me send a payout of 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I need help with a 500 AUD payout","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Could you aid me in distributing 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"Process a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Process a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Variation 1: Can I process a payout for 15000 CAD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Variation 2: Process a CAD payout for 15000","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Variation 3: Can I get a payout of 15000 CAD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Variation 4: Process a payout of 15000 in CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Variation 5: Can I request a payout for 15000 CAD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Please make a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Kindly process a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Please initiate a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Could you please payout 100 CHF?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"I would like to request a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Please transfer 100 CHF as payout","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"I need to send out 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"I have to transfer 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"I want to send 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"I need to make a payment of 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"I am looking to payout 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"I require a transfer of 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Can I payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Can I make a payout of 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Can I transfer 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Is it possible to payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"May I send out 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Could I request a payout of 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
